"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5368287","Mitochondrial translation","55/2126","93/10616",1.12955787717512e-16,1.36984564377419e-14,9.4039746712187e-15,"MRPL4/TUFM/MRPL51/MRPS25/MRPL40/MRPL54/OXA1L/MRPL10/MRPS2/MRPS33/MRPL58/MRPS26/MRPL13/MRPL1/MRPL35/CHCHD1/MTIF3/ERAL1/MRPL44/MRPL24/MRPL47/MRPL28/MRPS34/MRPL42/MRPS11/MRPS14/MRPS15/MRPS36/MRPS23/MRRF/MRPL30/MRPL34/MRPS9/MRPS18B/MRPL22/MRPS22/MRPS31/MRPL14/MRPL50/MRPS18C/MRPS7/MTFMT/MRPS17/MRPL18/MRPL16/MRPL48/MRPL11/MRPS18A/MRPL19/MRPL21/MRPL37/GFM1/MRPL57/MTIF2/MRPL32",55
"R-HSA-453279","Mitotic G1-G1/S phases","74/2126","149/10616",3.7932616602412e-16,4.2168425456348e-14,2.89485758281565e-14,"POLE/PSMB10/PSME1/MYBL2/MCM10/CDC45/PPP2CB/PSMB1/LYN/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/RPA4/MCM4/PSMB2/RPA2/PSMC5/PSMD9/PCNA/PSMA3/POLA2/POLE4/CABLES1/SKP1/TFDP1/PSMB5/PSMA1/MCM3/CDC25A/PSMD13/CDKN1B/POLE3/PSMD10/MCM2/SEM1/CDC6/SKP2/PSMB3/PPP2R2A/CDC7/PSMC4/TYMS/ORC4/PSMA5/MCM8/PSMD14/ORC1/PSMD5/PSMA4/PSMC3/UBA52/ORC3/ORC2/CDK1/PSMB7/E2F5/MYC/TK1/PSMD7/PSMD2/PSMD12/PSMD8/PRIM2/ORC5/POLE2/CCNB1/CCNA2/PSME3/FBXO5/PSMB4/E2F6",74
"R-HSA-5368286","Mitochondrial translation initiation","52/2126","87/10616",4.12374682515308e-16,4.23159866519555e-14,2.90498764201067e-14,"MRPL4/MRPL51/MRPS25/MRPL40/MRPL54/OXA1L/MRPL10/MRPS2/MRPS33/MRPL58/MRPS26/MRPL13/MRPL1/MRPL35/CHCHD1/MTIF3/ERAL1/MRPL44/MRPL24/MRPL47/MRPL28/MRPS34/MRPL42/MRPS11/MRPS14/MRPS15/MRPS36/MRPS23/MRPL30/MRPL34/MRPS9/MRPS18B/MRPL22/MRPS22/MRPS31/MRPL14/MRPL50/MRPS18C/MRPS7/MTFMT/MRPS17/MRPL18/MRPL16/MRPL48/MRPL11/MRPS18A/MRPL19/MRPL21/MRPL37/MRPL57/MTIF2/MRPL32",52
"R-HSA-174143","APC/C-mediated degradation of cell cycle proteins","51/2126","86/10616",1.2554650677626e-15,1.11652693359687e-13,7.66494462423484e-14,"PSMB10/ANAPC16/PLK1/PSME1/AURKB/PTTG1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/ANAPC11/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/SKP2/PSMB3/UBE2E1/ANAPC10/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/CDK1/ANAPC4/PSMB7/CDC26/PSMD7/PSMD2/PSMD12/PSMD8/CCNB1/NEK2/BUB3/CCNA2/PSME3/FBXO5/PSMB4",51
"R-HSA-453276","Regulation of mitotic cell cycle","51/2126","86/10616",1.2554650677626e-15,1.11652693359687e-13,7.66494462423484e-14,"PSMB10/ANAPC16/PLK1/PSME1/AURKB/PTTG1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/ANAPC11/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/SKP2/PSMB3/UBE2E1/ANAPC10/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/CDK1/ANAPC4/PSMB7/CDC26/PSMD7/PSMD2/PSMD12/PSMD8/CCNB1/NEK2/BUB3/CCNA2/PSME3/FBXO5/PSMB4",51
"R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","47/2126","76/10616",1.65841108733634e-15,1.38270024406668e-13,9.49222135514881e-14,"PSMB10/ANAPC16/PLK1/PSME1/PTTG1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/ANAPC11/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/UBE2E1/ANAPC10/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/CDK1/ANAPC4/PSMB7/CDC26/PSMD7/PSMD2/PSMD12/PSMD8/CCNB1/NEK2/BUB3/CCNA2/PSME3/PSMB4",47
"R-HSA-68827","CDT1 association with the CDC6:ORC:origin complex","40/2126","59/10616",2.08205071063894e-15,1.6337974399955e-13,1.12160007322346e-13,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/CDC6/PSMB3/PSMC4/ORC4/PSMA5/MCM8/PSMD14/ORC1/PSMD5/PSMA4/PSMC3/UBA52/ORC3/ORC2/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/ORC5/PSME3/PSMB4",40
"R-HSA-5389840","Mitochondrial translation elongation","51/2126","87/10616",2.44984311352963e-15,1.81560595191585e-13,1.24641140863788e-13,"MRPL4/TUFM/MRPL51/MRPS25/MRPL40/MRPL54/OXA1L/MRPL10/MRPS2/MRPS33/MRPL58/MRPS26/MRPL13/MRPL1/MRPL35/CHCHD1/ERAL1/MRPL44/MRPL24/MRPL47/MRPL28/MRPS34/MRPL42/MRPS11/MRPS14/MRPS15/MRPS36/MRPS23/MRPL30/MRPL34/MRPS9/MRPS18B/MRPL22/MRPS22/MRPS31/MRPL14/MRPL50/MRPS18C/MRPS7/MRPS17/MRPL18/MRPL16/MRPL48/MRPL11/MRPS18A/MRPL19/MRPL21/MRPL37/GFM1/MRPL57/MRPL32",51
"R-HSA-176409","APC/C:Cdc20 mediated degradation of mitotic proteins","46/2126","75/10616",5.21680662295906e-15,3.66274738685652e-13,2.51447189029052e-13,"PSMB10/ANAPC16/PSME1/PTTG1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/ANAPC11/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/UBE2E1/ANAPC10/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/CDK1/ANAPC4/PSMB7/CDC26/PSMD7/PSMD2/PSMD12/PSMD8/CCNB1/NEK2/BUB3/CCNA2/PSME3/PSMB4",46
"R-HSA-68867","Assembly of the pre-replicative complex","43/2126","68/10616",8.36123985318618e-15,5.57694698207519e-13,3.82856772224841e-13,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/MCM4/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/MCM3/PSMD13/PSMD10/MCM2/SEM1/CDC6/PSMB3/PSMC4/ORC4/PSMA5/MCM8/PSMD14/ORC1/PSMD5/PSMA4/PSMC3/UBA52/ORC3/ORC2/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/ORC5/PSME3/PSMB4",43
"R-HSA-5419276","Mitochondrial translation termination","50/2126","87/10616",1.38863720921468e-14,8.70192999124587e-13,5.97386498254865e-13,"MRPL4/MRPL51/MRPS25/MRPL40/MRPL54/OXA1L/MRPL10/MRPS2/MRPS33/MRPL58/MRPS26/MRPL13/MRPL1/MRPL35/CHCHD1/ERAL1/MRPL44/MRPL24/MRPL47/MRPL28/MRPS34/MRPL42/MRPS11/MRPS14/MRPS15/MRPS36/MRPS23/MRRF/MRPL30/MRPL34/MRPS9/MRPS18B/MRPL22/MRPS22/MRPS31/MRPL14/MRPL50/MRPS18C/MRPS7/MRPS17/MRPL18/MRPL16/MRPL48/MRPL11/MRPS18A/MRPL19/MRPL21/MRPL37/MRPL57/MRPL32",50
"R-HSA-202403","TCR signaling","61/2126","118/10616",1.43510089810652e-14,8.70192999124587e-13,5.97386498254865e-13,"PSMB10/HLA-DPB1/PLCG1/CD3E/HLA-DQA1/CD101/LCP2/PSME1/HLA-DQA2/CD3G/HLA-DPA1/NFKBIA/PSMB1/FYB1/UBE2N/UBB/PSMA2/UBE2D2/UBC/PSMD6/PAK1/PTPRC/PSMC2/PSMB8/VASP/NCK1/PSMB2/PSMC5/PSMD9/GRAP2/INPP5D/PSMA3/SKP1/PSMB5/MALT1/PTPN22/PSMA1/PSMD13/PSMD10/PIK3CA/TAB2/SEM1/RIPK2/PSMB3/PAG1/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4/CHUK",61
"R-HSA-68886","M Phase","142/2126","391/10616",1.78140605897113e-14,1.03321551420326e-12,7.09301268331755e-13,"PSMB10/PCNT/H4C2/ANAPC16/CENPT/RANGAP1/PLK1/PSME1/INCENP/ESPL1/H4C1/H4C3/NINL/TUBA4A/NUP37/TUBGCP6/H4C5/NCAPD3/AURKB/PTTG1/PPP2CB/DCTN2/NUP210/PSMB1/H4C4/H2BC12/ZWINT/CEP164/CENPJ/MAD1L1/H2BU1/CDCA5/UBB/PSMA2/UBC/ACTR1A/SPC24/PSMD6/PPP2R5C/PSMC2/PSMB8/H2AC4/SET/H4C13/ANAPC11/PSMB2/MAPRE1/MZT2B/CENPP/CENPO/EMD/PSMC5/CENPM/PSMD9/CENPF/KNTC1/DYNC1LI2/PSMA3/PSMB5/H3C7/CCNB2/DYNC1LI1/PPP2R5B/PSMA1/GORASP1/PSMD13/PSMD10/DYNLL1/SEM1/KIF2A/NME7/KIF23/ARPP19/SEH1L/PSMB3/XPO1/CENPQ/ALMS1/UBE2E1/MAU2/PPP2R2A/ANAPC10/BUB1/PSMC4/CETN2/H2BC5/CEP290/PSMA5/UBE2D1/RAE1/TMPO/NCAPG2/KIF20A/PSMD14/TUBGCP4/PSMD5/PSMA4/ITGB3BP/H2BC14/PSMC3/ERCC6L/NUP54/UBA52/H3C1/CDK1/CENPE/MASTL/H2BC15/ANAPC4/TUBGCP5/PSMB7/H2BC8/CDCA8/SEC13/NCAPH/SMC2/KIF2C/H3C2/NEDD1/CDC26/LMNB1/SMC3/NDC1/PSMD7/PSMD2/PSMD12/PSMD8/CCNB1/ZW10/NEK2/BUB3/BIRC5/PSME3/H3C11/H2BC4/FBXO5/PSMB4/SPDL1/TUBB/H3C12/NUP155/NDC80",142
"R-HSA-2555396","Mitotic Metaphase and Anaphase","87/2126","200/10616",2.38343152656227e-14,1.32043530302977e-12,9.06477324734397e-13,"PSMB10/ANAPC16/CENPT/RANGAP1/PLK1/PSME1/INCENP/ESPL1/TUBA4A/NUP37/AURKB/PTTG1/PPP2CB/PSMB1/ZWINT/MAD1L1/CDCA5/UBB/PSMA2/UBC/SPC24/PSMD6/PPP2R5C/PSMC2/PSMB8/ANAPC11/PSMB2/MAPRE1/CENPP/CENPO/EMD/PSMC5/CENPM/PSMD9/CENPF/KNTC1/DYNC1LI2/PSMA3/PSMB5/DYNC1LI1/PPP2R5B/PSMA1/PSMD13/PSMD10/DYNLL1/SEM1/KIF2A/SEH1L/PSMB3/XPO1/CENPQ/UBE2E1/PPP2R2A/ANAPC10/BUB1/PSMC4/PSMA5/UBE2D1/TMPO/PSMD14/PSMD5/PSMA4/ITGB3BP/PSMC3/ERCC6L/UBA52/CENPE/ANAPC4/PSMB7/CDCA8/SEC13/KIF2C/CDC26/LMNB1/SMC3/PSMD7/PSMD2/PSMD12/PSMD8/ZW10/BUB3/BIRC5/PSME3/FBXO5/PSMB4/SPDL1/NDC80",87
"R-HSA-174178","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","44/2126","72/10616",2.47457890372896e-14,1.32043530302977e-12,9.06477324734397e-13,"PSMB10/ANAPC16/PLK1/PSME1/AURKB/PTTG1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/ANAPC11/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/SKP2/PSMB3/UBE2E1/ANAPC10/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/ANAPC4/PSMB7/CDC26/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",44
"R-HSA-176408","Regulation of APC/C activators between G1/S and early anaphase","47/2126","80/10616",2.7261092588299e-14,1.39870375049196e-12,9.60208524365188e-13,"PSMB10/ANAPC16/PLK1/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/ANAPC11/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/UBE2E1/ANAPC10/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/CDK1/ANAPC4/PSMB7/CDC26/PSMD7/PSMD2/PSMD12/PSMD8/CCNB1/BUB3/CCNA2/PSME3/FBXO5/PSMB4",47
"R-HSA-179419","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","44/2126","73/10616",5.03113855662496e-14,2.48575512390285e-12,1.70646804844589e-12,"PSMB10/ANAPC16/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/ANAPC11/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/UBE2E1/ANAPC10/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/CDK1/ANAPC4/PSMB7/CDC26/PSMD7/PSMD2/PSMD12/PSMD8/NEK2/BUB3/CCNA2/PSME3/PSMB4",44
"R-HSA-68882","Mitotic Anaphase","86/2126","199/10616",5.32237891833001e-14,2.53573338466151e-12,1.74077806727335e-12,"PSMB10/ANAPC16/CENPT/RANGAP1/PLK1/PSME1/INCENP/ESPL1/TUBA4A/NUP37/AURKB/PTTG1/PPP2CB/PSMB1/ZWINT/MAD1L1/CDCA5/UBB/PSMA2/UBC/SPC24/PSMD6/PPP2R5C/PSMC2/PSMB8/ANAPC11/PSMB2/MAPRE1/CENPP/CENPO/EMD/PSMC5/CENPM/PSMD9/CENPF/KNTC1/DYNC1LI2/PSMA3/PSMB5/DYNC1LI1/PPP2R5B/PSMA1/PSMD13/PSMD10/DYNLL1/SEM1/KIF2A/SEH1L/PSMB3/XPO1/CENPQ/UBE2E1/PPP2R2A/ANAPC10/BUB1/PSMC4/PSMA5/UBE2D1/TMPO/PSMD14/PSMD5/PSMA4/ITGB3BP/PSMC3/ERCC6L/UBA52/CENPE/ANAPC4/PSMB7/CDCA8/SEC13/KIF2C/CDC26/LMNB1/SMC3/PSMD7/PSMD2/PSMD12/PSMD8/ZW10/BUB3/BIRC5/PSME3/PSMB4/SPDL1/NDC80",86
"R-HSA-174084","Autodegradation of Cdh1 by Cdh1:APC/C","40/2126","63/10616",5.96486259150515e-14,2.74383679209237e-12,1.88364081837005e-12,"PSMB10/ANAPC16/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/ANAPC11/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/UBE2E1/ANAPC10/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/ANAPC4/PSMB7/CDC26/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",40
"R-HSA-5362768","Hh mutants that don't undergo autocatalytic processing are degraded by ERAD","37/2126","56/10616",8.26673267123591e-14,3.6759404611429e-12,2.52352892069307e-12,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/ERLEC1/PSMA3/OS9/PSMB5/VCP/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/SYVN1/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",37
"R-HSA-2467813","Separation of Sister Chromatids","82/2126","188/10616",1.11815981334283e-13,4.811694164514e-12,3.30322253856797e-12,"PSMB10/ANAPC16/CENPT/RANGAP1/PLK1/PSME1/INCENP/ESPL1/TUBA4A/NUP37/AURKB/PTTG1/PPP2CB/PSMB1/ZWINT/MAD1L1/CDCA5/UBB/PSMA2/UBC/SPC24/PSMD6/PPP2R5C/PSMC2/PSMB8/ANAPC11/PSMB2/MAPRE1/CENPP/CENPO/PSMC5/CENPM/PSMD9/CENPF/KNTC1/DYNC1LI2/PSMA3/PSMB5/DYNC1LI1/PPP2R5B/PSMA1/PSMD13/PSMD10/DYNLL1/SEM1/KIF2A/SEH1L/PSMB3/XPO1/CENPQ/UBE2E1/ANAPC10/BUB1/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/ITGB3BP/PSMC3/ERCC6L/UBA52/CENPE/ANAPC4/PSMB7/CDCA8/SEC13/KIF2C/CDC26/SMC3/PSMD7/PSMD2/PSMD12/PSMD8/ZW10/BUB3/BIRC5/PSME3/PSMB4/SPDL1/NDC80",82
